,node_idx,AirportID,Airline,Stops,DestAirportID,SourceAirportID,DestSourceRatio,Country
1897,1897,3852,6.0,0.0,6.0,6.0,1.0,United States
1898,1898,3854,3.0,0.0,5.0,5.0,1.0,United States
1899,1899,3855,10.0,0.0,27.0,28.0,0.9642857142857143,United States
1900,1900,3856,2.0,0.0,3.0,3.0,1.0,United States
1901,1901,3857,7.0,0.0,17.0,16.0,1.0625,United States
1902,1902,3858,18.0,0.0,218.0,212.0,1.028301886792453,United States
1903,1903,3859,1.0,0.0,6.0,6.0,1.0,United States
1904,1904,3860,1.0,0.0,3.0,3.0,1.0,United States
1905,1905,3861,33.0,0.0,123.0,125.0,0.984,United States
1906,1906,3862,2.0,0.0,2.0,18.0,0.1111111111111111,United States
1907,1907,3863,12.0,0.0,40.0,41.0,0.975609756097561,United States
1908,1908,3864,11.0,0.0,31.0,29.0,1.0689655172413792,United States
1909,1909,3865,2.0,0.0,2.0,2.0,1.0,United States
1910,1910,3867,13.0,0.0,42.0,44.0,0.9545454545454546,United States
1911,1911,3872,3.0,0.0,3.0,3.0,1.0,United States
1912,1912,3873,6.0,0.0,10.0,11.0,0.9090909090909091,United States
1913,1913,3875,9.0,0.0,16.0,17.0,0.9411764705882353,United States
1914,1914,3876,18.0,0.0,301.0,299.0,1.0066889632107023,United States
1915,1915,3877,34.0,0.0,246.0,252.0,0.9761904761904762,United States
1916,1916,3878,35.0,0.016877637130801686,237.0,238.0,0.9957983193277311,United States
1917,1917,3879,2.0,0.0,2.0,2.0,1.0,United States
1918,1918,3880,4.0,0.0,7.0,7.0,1.0,United States
1919,1919,3881,1.0,0.0,4.0,4.0,1.0,United States
1920,1920,3885,98.0,0.0,325.0,329.0,0.9878419452887538,Thailand
1921,1921,3886,1.0,0.0,1.0,1.0,1.0,Indonesia
1922,1922,3890,3.0,0.0,4.0,4.0,1.0,Indonesia
1923,1923,3894,3.0,0.0,3.0,3.0,1.0,Indonesia
1924,1924,3896,8.0,0.0,21.0,21.0,1.0,Indonesia
1925,1925,3898,11.0,0.0,29.0,29.0,1.0,Indonesia
1926,1926,3901,8.0,0.0,17.0,17.0,1.0,Indonesia
1927,1927,3903,6.0,0.0,27.0,27.0,1.0,Indonesia
1928,1928,3904,4.0,0.0,4.0,4.0,1.0,Indonesia
1929,1929,3905,4.0,0.0,7.0,7.0,1.0,Indonesia
1930,1930,3906,3.0,0.0,3.0,3.0,1.0,Indonesia
1931,1931,3908,5.0,0.0,15.0,14.0,1.0714285714285714,Indonesia
1932,1932,3910,1.0,0.0,7.0,7.0,1.0,Indonesia
1933,1933,3911,2.0,0.0,3.0,3.0,1.0,Indonesia
1934,1934,3913,2.0,0.0,3.0,2.0,1.5,Indonesia
1935,1935,3914,2.0,0.0,4.0,4.0,1.0,Indonesia
1936,1936,3916,4.0,0.0,10.0,11.0,0.9090909090909091,Indonesia
1937,1937,3917,2.0,0.0,4.0,4.0,1.0,Indonesia
1938,1938,3919,8.0,0.0,36.0,36.0,1.0,Indonesia
1939,1939,3920,4.0,0.0,7.0,7.0,1.0,Indonesia
1940,1940,3924,2.0,0.0,3.0,3.0,1.0,Indonesia
1941,1941,3927,1.0,0.0,1.0,1.0,1.0,Indonesia
